Mots avec des préfixes multiples et un suffixe avec l'unicité :
-------------------------------------------------------------
abiogenèse | CRÉATION  SANS DE LA VIE | genèse - a - bio | gène - a+bio
polygéniste | ADEPTE / SPÉCIALISTE  MULTIPLE DE LA RACE | iste - poly - gén |  - +gène
polygonométrie | MESURE  MULTIPLE DE LA PROCRÉATION | métrie - poly - gono | métro (métron) - +gono (gonos)
polygonosomie | CORPS  MULTIPLE DE LA PROCRÉATION | somie - poly - gono | somato - +gono (gonos)
polyhydrite | INFLAMMATION  MULTIPLE DE L'EAU | ite - poly - hydr |  - +hydro
polyménorrhée | ÉCOULEMENT  MULTIPLE MENSUEL(LE) -> PÉRIODIQUE | rrhée - poly - méno |  - +
polymétallique | À PROPOS  MULTIPLE DU MÉTAL | ique - poly - métall |  - +
polymétamorphisme | FORME  MULTIPLE AU-DELÀ / APRÈS | morphisme - poly - méta | morpho - +
polymicroadénopathie | MALADIE  MULTIPLE PETIT(E) DE LA GLANDE | pathie - poly - micro - adéno | patho (souffrance) - +micro+
polymyosite | NOURRITURE  MULTIPLE DE LA SOURIS -> DU MUSCLE | site - poly - myo |  - +
polynéoptère | AILE  MULTIPLE NOUVEAU (-VELLE) | ptère - poly - néo |  - +
polyneuromyosite | NOURRITURE  MULTIPLE DES NERFS DE LA SOURIS -> DU MUSCLE | site - poly - neuro - myo |  - ++
polyneuropathie | MALADIE  MULTIPLE DES NERFS | pathie - poly - neuro | patho (souffrance) - +
polynévrite | INFLAMMATION  MULTIPLE DU NERF | ite - poly - névr |  - +
polynitration | ACTION  MULTIPLE DU NITRE -> AZOTÉ(E) | ation - poly - nitr | ation - +
polyphagique | À PROPOS  MULTIPLE MANGÉ(E) / QUI MANGE | ique - poly - phag |  - +phago
polyphoniste | ADEPTE / SPÉCIALISTE  MULTIPLE DE LA VOIX | iste - poly - phon |  - +
polyprotodonte | DENT  MULTIPLE PREMIER(ÈRE) | odonte - poly - prot |  - +
polyprotodontie | DENT  MULTIPLE PREMIER(ÈRE) | odontie - poly - prot |  - +
polyradiculonévrite | INFLAMMATION  MULTIPLE DE LA RACINE DU NERF | ite - poly - radiculo - névr |  - ++
polyribosome | CORPS  MULTIPLE DU SUCRE RIBOSE | some - poly - ribo | somato - +
polysaccharide | APPARENCE  MULTIPLE DU SUCRE | ide - poly - sacchar | eidos - +saccharo
polysyllabe | PRISE  MULTIPLE AVEC | labe - poly - syl |  - +syn
polysyllogisme | ÉTUDE  MULTIPLE AVEC | logisme - poly - syl | logo - +syn
polysyndactylie | DOIGT  MULTIPLE AVEC | dactylie - poly - syn | dactylo - +syn
polytoxicomane | MANIAQUE  MULTIPLE TOXIQUE | mane - poly - toxico | mane (mania) - +
polytoxicomanie | OBSESSION  MULTIPLE TOXIQUE | manie - poly - toxico | mane (mania) - +
polytraumatologie | ÉTUDE  MULTIPLE DE LA BLESSURE | logie - poly - traumato | logo - +
polyurique | À PROPOS  MULTIPLE DE L'URINE | ique - poly - ur |  - +
posthypophyse | PRODUCTION / CROISSANCE  APRÈS INFÉRIEUR(E) | physe - post - hypo |  - +
postnéonatal | NAISSANCE  APRÈS NOUVEAU (-VELLE) | natal - post - néo |  - +
préanesthésie | SENSATION  AVANT SANS | esthésie - pré - an |  - +an
précisable | QUI PEUT ÊTRE  AVANT EN DEÇÀ | able - pré - cis |  - +
préconcentration | ACTION  AVANT AVEC DU CENTRE | ation - pré - con - centr | ation - ++centro
préconcentre | CENTRE  AVANT AVEC | centre - pré - con | centro - +
prégéodésique | À PROPOS  AVANT DE LA TERRE ENLEVER | ique - pré - géo - dés |  - +géo+
préhomogène | GÉNÉRATEUR / ORIGINE  AVANT IDENTIQUE | gène - pré - homo | gène - +homos
préménopause | CESSATION  AVANT MENSUEL(LE) -> PÉRIODIQUE | pause - pré - méno |  - +
préparateur | AGENT  AVANT À TRAVERS / DE PART EN PART / TERMINER / INTENSE | ateur - pré - par |  - +
préparation | ACTION  AVANT À TRAVERS / DE PART EN PART / TERMINER / INTENSE | ation - pré - par | ation - +
préparatrice | AGENTE  AVANT À TRAVERS / DE PART EN PART / TERMINER / INTENSE | atrice - pré - par |  - +
prépolymère | PARTIE  AVANT MULTIPLE | mère - pré - poly |  - +
préschizophrénie | ESPRIT  AVANT FENDU(E) | phrénie - pré - schizo |  - +
présérologique | ÉTUDE  AVANT DU SÉRUM | logique - pré - séro | logo - +
préspermatogenèse | CRÉATION  AVANT DE LA SEMENCE | genèse - pré - spermato | gène - +
proarthropode | PIED  DEVANT / EN FAVEUR DE / À LA PLACE DE DE L'ARTICULATION | pode - pro - arthro |  - +
prodiagnose | CONNAISSANCE  DEVANT / EN FAVEUR DE / À LA PLACE DE À TRAVERS | gnose - pro - dia |  - +
proeutectoïde | APPARENCE  DEVANT / EN FAVEUR DE / À LA PLACE DE BIEN / VÉRITABLE DU TOIT | ïde - pro - eu - tecto |  - ++
prolactinémie | LE SANG  DEVANT / EN FAVEUR DE / À LA PLACE DE DU LAIT | némie - pro - lacti |  - +lacto
prolactinome | LOI  DEVANT / EN FAVEUR DE / À LA PLACE DE DU LAIT | nome - pro - lacti |  - +lacto
promastocyte | CELLULE  DEVANT / EN FAVEUR DE / À LA PLACE DE DU SEIN | cyte - pro - masto |  - +
promégaloblaste | GERME  DEVANT / EN FAVEUR DE / À LA PLACE DE GRAND(E) | blaste - pro - mégalo |  - +mégalo
promonocyte | CELLULE  DEVANT / EN FAVEUR DE / À LA PLACE DE UNIQUE | cyte - pro - mono |  - +
promyélocyte | CELLULE  DEVANT / EN FAVEUR DE / À LA PLACE DE DE LA MOELLE | cyte - pro - myélo |  - +
pronostique | À PROPOS  DEVANT / EN FAVEUR DE / À LA PLACE DE DU RETOUR | ique - pro - nost |  - +
propanique | À PROPOS  DEVANT / EN FAVEUR DE / À LA PLACE DE DE TOUT | ique - pro - pan |  - +
proplasmocyte | CELLULE  DEVANT / EN FAVEUR DE / À LA PLACE DE DE LA FORMATION | cyte - pro - plasmo |  - +plasmo
prosyllogisme | ÉTUDE  DEVANT / EN FAVEUR DE / À LA PLACE DE AVEC | logisme - pro - syl | logo - +syn
protéroglyphe | GRAVURE  PREMIER(ÈRE) DU DÉSIR | glyphe - prot - éro |  - +
protérozoïque | ANIMAL  PREMIER(ÈRE) DU DÉSIR | zoïque - prot - éro |  - +
prothrombique | À PROPOS  DEVANT / EN FAVEUR DE / À LA PLACE DE DU CAILLOT | ique - pro - thromb |  - +
protomothèque | RANGEMENT  DEVANT / EN FAVEUR DE / À LA PLACE DE DÉCOUPÉ(E) | thèque - pro - tomo |  - +tomo
protophytogène | GÉNÉRATEUR / ORIGINE  PREMIER(ÈRE) DU VÉGÉTAL | gène - proto - phyto | gène - +
protoplasmique | À PROPOS  PREMIER(ÈRE) DE LA FORMATION | ique - proto - plasm |  - +plasmo
protorthoptère | AILE  PREMIER(ÈRE) DROIT(E) | ptère - prot(o) - ortho |  - +
protozoologie | ÉTUDE  PREMIER(ÈRE) DE L'ANIMAL | logie - proto - zoo | logo - +
protypographique | ÉCRITURE  DEVANT / EN FAVEUR DE / À LA PLACE DE DE L'EMPREINTE | graphique - pro - typo | grapho - +
pseudépigraphe | QUI ÉCRIT  FAUX -> PRESQUE SUR | graphe - pseud - épi | grapho - +
pseudépigraphique | ÉCRITURE  FAUX -> PRESQUE SUR | graphique - pseud - épi | grapho - +
pseudochromesthésie | SENSATION  FAUX -> PRESQUE DE LA COULEUR | esthésie - pseudo - chrom |  - +chromo
pseudogonococcie | GRAINE -> BACTÉRIE  FAUX -> PRESQUE DE LA PROCRÉATION | coccie - pseudo - gono |  - +gono (gonos)
pseudohématocèle | TUMEUR / HERNIE  FAUX -> PRESQUE DU SANG | cèle - pseudo - hémato |  - +
pseudoleucémie | SANG  FAUX -> PRESQUE BLANC(HE) | émie - pseudo - leuc |  - +
pseudomycétome | TUMEUR  FAUX -> PRESQUE DU CHAMPIGNON | ome - pseudo - mycét |  - +
pseudomyopathique | MALADIE  FAUX -> PRESQUE DE LA SOURIS -> DU MUSCLE | pathique - pseudo - myo | patho (souffrance) - +
pseudonévralgie | DOULEUR  FAUX -> PRESQUE DU NERF | algie - pseudo - névr | algos - +
pseudonévrome | TUMEUR  FAUX -> PRESQUE DU NERF | ome - pseudo - névr |  - +
pseudonévroptère | AILE  FAUX -> PRESQUE DU NERF | ptère - pseudo - névro |  - +
pseudoparasite | NOURRITURE  FAUX -> PRESQUE À COTÉ | site - pseudo - para |  - +para
pseudophyllide | APPARENCE  FAUX -> PRESQUE DE LA FEUILLE | ide - pseudo - phyll | eidos - +
pseudopolyarthrite | INFLAMMATION  FAUX -> PRESQUE MULTIPLE DE L'ARTICULATION | ite - pseudo - poly - arthr |  - ++
pseudopolydystrophie | NOURRITURE / CROISSANCE  FAUX -> PRESQUE MULTIPLE DU TROUBLE | trophie - pseudo - poly - dys | tropho - ++
pseudoxanthome | TUMEUR  FAUX -> PRESQUE JAUNE | ome - pseudo - xanth |  - +
psychanalyse | DÉCOMPOSITION  DE L'ÂME DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | lyse - psych - ana |  - +
psychanalytique | DÉCOMPOSITION  DE L'ÂME DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | lytique - psych - ana |  - +
psychoanaleptique | ATTAQUE  DE L'ÂME DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | leptique - psycho - ana |  - +
psychobiologie | ÉTUDE  DE L'ÂME DE LA VIE | logie - psycho - bio | logo - +bio
psychobiologique | ÉTUDE  DE L'ÂME DE LA VIE | logique - psycho - bio | logo - +bio
psychocriminologie | ÉTUDE  DE L'ÂME DU CRIME | logie - psycho - crimino | logo - +
psychodysleptique | ATTAQUE  DE L'ÂME DU TROUBLE | leptique - psycho - dys |  - +
psychogériatrie | MÉDECIN  DE L'ÂME DU VIEILLARD | iatrie - psycho - gér | iatre - +
psychogérontologie | ÉTUDE  DE L'ÂME DU VIEILLARD | logie - psycho - géronto | logo - +
psychoneurasthénie | FAIBLESSE  DE L'ÂME DES NERFS | asthénie - psycho - neur |  - +
psychopathogène | GÉNÉRATEUR / ORIGINE  DE L'ÂME DE LA MALADIE | gène - psycho - patho | gène - +patho (souffrance)
psychopathologie | ÉTUDE  DE L'ÂME DE LA MALADIE | logie - psycho - patho | logo - +patho (souffrance)
psychopathologique | ÉTUDE  DE L'ÂME DE LA MALADIE | logique - psycho - patho | logo - +patho (souffrance)
psychopédagogie | GUIDAGE  DE L'ÂME DE L'ENFANT | agogie - psycho - péd | agogie : guider - +pédo (paidos)
psychopédagogique | GUIDAGE  DE L'ÂME DE L'ENFANT | agogique - psycho - péd | agogie : guider - +pédo (paidos)
psychopédagogue | MENEUR  DE L'ÂME DE L'ENFANT | agogue - psycho - péd | agogie : guider - +pédo (paidos)
psychopharmacologie | ÉTUDE  DE L'ÂME DU MÉDICAMENT | logie - psycho - pharmaco | logo - +
psychopharmacologique | ÉTUDE  DE L'ÂME DU MÉDICAMENT | logique - psycho - pharmaco | logo - +
psychopharmacologue | SPÉCIALISTE / DISCOURS  DE L'ÂME DU MÉDICAMENT | logue - psycho - pharmaco | logo - +
psychophysiologie | ÉTUDE  DE L'ÂME DU CORPS | logie - psycho - physio | logo - +physio
psychophysiologique | ÉTUDE  DE L'ÂME DU CORPS | logique - psycho - physio | logo - +physio
psychophysiologiste | SPÉCIALISTE  DE L'ÂME DU CORPS | logiste - psycho - physio | logo - +physio
psychophysiologue | SPÉCIALISTE / DISCOURS  DE L'ÂME DU CORPS | logue - psycho - physio | logo - +physio
psychopolynévrite | INFLAMMATION  DE L'ÂME MULTIPLE DU NERF | ite - psycho - poly - névr |  - ++
psychoprophylaxie | PROTECTION  DE L'ÂME DEVANT / EN FAVEUR DE / À LA PLACE DE | phylaxie - psycho - pro |  - +
psychosociologie | ÉTUDE  DE L'ÂME PARTAGÉ(E) | logie - psycho - socio | logo - +
psychosociologique | ÉTUDE  DE L'ÂME PARTAGÉ(E) | logique - psycho - socio | logo - +
psychosociologue | SPÉCIALISTE / DISCOURS  DE L'ÂME PARTAGÉ(E) | logue - psycho - socio | logo - +
psychotraumatologie | ÉTUDE  DE L'ÂME DE LA BLESSURE | logie - psycho - traumato | logo - +
psychotraumatologue | SPÉCIALISTE / DISCOURS  DE L'ÂME DE LA BLESSURE | logue - psycho - traumato | logo - +
pyroacétique | À PROPOS  DU FEU DE L'ACIDE ACÉTIQUE | ique - pyro - acét |  - +
pyrogénation | ACTION  DU FEU DE LA RACE | ation - pyro - gén | ation - +gène
pyrométallurgie | TRAVAIL  DU FEU DU MÉTAL | urgie - pyro - métall | ergo - +
pyrométallurgique | TRAVAIL  DU FEU DU MÉTAL | urgique - pyro - métall | ergo - +
pyrométasomatique | CORPS  DU FEU AU-DELÀ / APRÈS | somatique - pyro - méta | somato - +
pyromorphite | INFLAMMATION  DU FEU DE LA FORME | ite - pyro - morph |  - +morpho
pyrophyllite | INFLAMMATION  DU FEU DE LA FEUILLE | ite - pyro - phyll |  - +
pyrosélénite | INFLAMMATION  DU FEU DE LA LUNE | ite - pyro - sélén |  - +
pyrotechnophile | AMOUREUX  DU FEU DE LA TECHNIQUE | phile - pyro - techno | philo - +
pyrotechnophilie | AMOUR  DU FEU DE LA TECHNIQUE | philie - pyro - techno | philo - +
pyroxylique | À PROPOS  DU FEU DU BOIS | ique - pyro - xyl |  - +xylo
quadricentenaire | AGÉ(E)  QUATRE DU CENTIÈME | enaire - quadri - cent | enaire - quadri+
quadrisyllabe | PRISE  QUATRE AVEC | labe - quadri - syl |  - quadri+syn
quartagée | TERRE  QUATRE SANS | gée - quart - a |  - quart+a
quaterpolymère | PARTIE  QUATRE MULTIPLE | mère - quater - poly |  - quater+
radioagronomie | LOI  DU RAYONNEMENT DU CHAMP | nomie - radio - agro |  - +
radioaltimètre | MESUREUR  DU RAYONNEMENT ÉLEVÉ(E) | mètre - radio - alti | métro (métron) - +
radioaltimétrique | MESURAGE  DU RAYONNEMENT ÉLEVÉ(E) | métrique - radio - alti | métro (métron) - +
radioastronome | LOI  DU RAYONNEMENT DU CIEL | nome - radio - astro |  - +astro
radioastronomie | LOI  DU RAYONNEMENT DU CIEL | nomie - radio - astro |  - +astro
radioastronomique | LOI  DU RAYONNEMENT DU CIEL | nomique - radio - astro |  - +astro
radiobiologie | ÉTUDE  DU RAYONNEMENT DE LA VIE | logie - radio - bio | logo - +bio
radiobiologique | ÉTUDE  DU RAYONNEMENT DE LA VIE | logique - radio - bio | logo - +bio
radiobiologiste | SPÉCIALISTE  DU RAYONNEMENT DE LA VIE | logiste - radio - bio | logo - +bio
radiocardiogramme | ÉCRITURE  DU RAYONNEMENT DU CŒUR | gramme - radio - cardio | gramma - +
radiocardiographie | ÉCRITURE  DU RAYONNEMENT DU CŒUR | graphie - radio - cardio | grapho - +
radiocartographie | ÉCRITURE  DU RAYONNEMENT DE LA CARTE | graphie - radio - carto | grapho - +
radiochronologie | ÉTUDE  DU RAYONNEMENT DU TEMPS | logie - radio - chrono | logo - +chrono
radiochronomètre | MESUREUR  DU RAYONNEMENT DU TEMPS | mètre - radio - chrono | métro (métron) - +chrono
radiocinématographie | ÉCRITURE  DU RAYONNEMENT DU MOUVEMENT | graphie - radio - cinémato | grapho - +cinèse
radioconcentrique | CENTRÉ  DU RAYONNEMENT AVEC | centrique - radio - con | centro - +
radioconducteur | QUI CONDUIT  DU RAYONNEMENT AVEC | ducteur - radio - con | duc - +
radiocristallographie | ÉCRITURE  DU RAYONNEMENT DU CRISTAL | graphie - radio - cristallo | grapho - +
radiocristallographique | ÉCRITURE  DU RAYONNEMENT DU CRISTAL | graphique - radio - cristallo | grapho - +
radiodermite | INFLAMMATION  DU RAYONNEMENT DE LA PEAU | ite - radio - derm |  - +
radioécologie | ÉTUDE  DU RAYONNEMENT DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | logie - radio - éco | logo - +
radioélectronique | À PROPOS  DU RAYONNEMENT DE L'AMBRE -> DE L'ÉLECTRICITÉ | ique - radio - électron |  - +électricité
radioépidermite | INFLAMMATION  DU RAYONNEMENT SUR DE LA PEAU | ite - radio - épi - derm |  - ++
radiogoniomètre | MESUREUR  DU RAYONNEMENT DE L'ANGLE | mètre - radio - gonio | métro (métron) - +gono (gonia)
radiogoniométrie | MESURE  DU RAYONNEMENT DE L'ANGLE | métrie - radio - gonio | métro (métron) - +gono (gonia)
radiogoniométrique | MESURAGE  DU RAYONNEMENT DE L'ANGLE | métrique - radio - gonio | métro (métron) - +gono (gonia)
radiohéliographe | QUI ÉCRIT  DU RAYONNEMENT DU SOLEIL | graphe - radio - hélio | grapho - +
radioimmunologique | ÉTUDE  DU RAYONNEMENT DE LA DÉFENSE | logique - radio - immuno | logo - +
radiokymographie | ÉCRITURE  DU RAYONNEMENT DU MOUVEMENT | graphie - radio - kymo | grapho - +
radioleucémie | SANG  DU RAYONNEMENT BLANC(HE) | émie - radio - leuc |  - +
radiomanométrie | MESURE  DU RAYONNEMENT DE LA PRESSION | métrie - radio - mano | métro (métron) - +mano
radiométallographie | ÉCRITURE  DU RAYONNEMENT DU MÉTAL | graphie - radio - métallo | grapho - +
radiométéorologie | ÉTUDE  DU RAYONNEMENT DU CIEL | logie - radio - météoro | logo - +météoro
radiopathologie | ÉTUDE  DU RAYONNEMENT DE LA MALADIE | logie - radio - patho | logo - +patho (souffrance)
radiophotographie | ÉCRITURE  DU RAYONNEMENT DE LA LUMIÈRE | graphie - radio - photo | grapho - +
radiophysiologie | ÉTUDE  DU RAYONNEMENT DU CORPS | logie - radio - physio | logo - +physio
radiostéréoscopie | EXAMEN  DU RAYONNEMENT SOLIDE -> ROBUSTE / DU RELIEF | scopie - radio - stéréo | scope - +
radiotélégramme | ÉCRITURE  DU RAYONNEMENT À DISTANCE | gramme - radio - télé | gramma - +
radiotélégraphie | ÉCRITURE  DU RAYONNEMENT À DISTANCE | graphie - radio - télé | grapho - +
radiotélégraphique | ÉCRITURE  DU RAYONNEMENT À DISTANCE | graphique - radio - télé | grapho - +
radiotélégraphiste | ADEPTE / SPÉCIALISTE  DU RAYONNEMENT À DISTANCE DE L'ÉCRITURE | iste - radio - télé - graph |  - ++grapho
radiotéléphone | VOIX  DU RAYONNEMENT À DISTANCE | phone - radio - télé |  - +
radiotéléphonie | VOIX  DU RAYONNEMENT À DISTANCE | phonie - radio - télé |  - +
radiotéléphonique | VOIX  DU RAYONNEMENT À DISTANCE | phonique - radio - télé |  - +
radiotéléphoniste | ADEPTE / SPÉCIALISTE  DU RAYONNEMENT À DISTANCE DE LA VOIX | iste - radio - télé - phon |  - ++
radiotélescope | VISIONNEUSE  DU RAYONNEMENT À DISTANCE | scope - radio - téle | scope - +
radiotoxique | À PROPOS  DU RAYONNEMENT TOXIQUE | ique - radio - tox |  - +
rectopérinéorraphie | SUTURE  DU RECTUM AUTOUR NOUVEAU (-VELLE) | rraphie - recto - péri - néo |  - +péri+
rectophotographie | ÉCRITURE  DU RECTUM DE LA LUMIÈRE | graphie - recto - photo | grapho - +
rétinoblastome | TUMEUR  DES RETS -> DE LA RÉTINE DU GERME | ome - rétino - blast |  - +
rétrovirologie | ÉTUDE  EN ARRIÈRE DU VIRUS | logie - rétro - viro | logo - +
rétrovirologiste | SPÉCIALISTE  EN ARRIÈRE DU VIRUS | logiste - rétro - viro | logo - +
rhéocardiogramme | ÉCRITURE  DE L'ÉCOULEMENT DU CŒUR | gramme - rhéo - cardio | gramma - +
rhéocardiographie | ÉCRITURE  DE L'ÉCOULEMENT DU CŒUR | graphie - rhéo - cardio | grapho - +
rhéoencéphalographie | ÉCRITURE  DE L'ÉCOULEMENT DU CERVEAU | graphie - rhéo - encéphalo | grapho - +
rhéoencéphalographique | ÉCRITURE  DE L'ÉCOULEMENT DU CERVEAU | graphique - rhéo - encéphalo | grapho - +
rhéopneumographie | ÉCRITURE  DE L'ÉCOULEMENT DU POUMON | graphie - rhéo - pneumo | grapho - +
rhinolaryngite | INFLAMMATION  DU NEZ DE LA GORGE | ite - rhino - laryng |  - +
rhinomanométrie | MESURE  DU NEZ DE LA PRESSION | métrie - rhino - mano | métro (métron) - +mano
rhinophycomycose | CHAMPIGNON  DU NEZ DE L'ALGUE | mycose - rhino - phyco |  - +
rhinothermométrie | MESURE  DU NEZ DE LA CHALEUR | métrie - rhino - thermo | métro (métron) - +thermo
rhizalyse | DÉCOMPOSITION  DE LA RACINE SANS | lyse - rhiz - a |  - +a
rhizocarpique | À PROPOS  DE LA RACINE DU FRUIT | ique - rhizo - carp |  - +karpos : fruit
saprophytique | À PROPOS  PUTRIDE DU VÉGÉTAL | ique - sapro - phyt |  - +
saprophytisme | DOCTRINE / ÉTAT / PROFESSION  PUTRIDE DU VÉGÉTAL | isme - sapro - phyt |  - +
saproxylique | À PROPOS  PUTRIDE DU BOIS | ique - sapro - xyl |  - +xylo
saprozoonose | MALADIE  PUTRIDE DE L'ANIMAL | nose - sapro - zoo | noso - +
sarcoleucémie | SANG  DE LA CHAIR BLANC(HE) | émie - sarco - leuc |  - +
sarcoplasmique | À PROPOS  DE LA CHAIR DE LA FORMATION | ique - sarco - plasm |  - +plasmo
schizontocide | QUI TUE  FENDU(E) DE L'ÊTRE | cide - schiz(o) - onto |  - +
schizoparaphasie | DIRE  FENDU(E) À COTÉ | phasie - schizo - para |  - +para
sélénocyanique | À PROPOS  DE LA LUNE BLEU(E) | ique - séléno - cyan |  - +
sélénocyanogène | GÉNÉRATEUR / ORIGINE  DE LA LUNE BLEU(E) | gène - séléno - cyano | gène - +
sélénotopographie | ÉCRITURE  DE LA LUNE DU LIEU | graphie - séléno - topo | grapho - +
semi-autonomie | LOI  DE LA MOITIÉ DE SOI-MÊME | nomie - semi- - auto |  - semi+
semi-conducteur | QUI CONDUIT  DE LA MOITIÉ AVEC | ducteur - semi- - con | duc - semi+
semi-conductrice | QUI CONDUIT  DE LA MOITIÉ AVEC | ductrice - semi- - con | duc - semi+
séroprophylaxie | PROTECTION  DU SÉRUM DEVANT / EN FAVEUR DE / À LA PLACE DE | phylaxie - séro - pro |  - +
sidéroblastique | À PROPOS  DU FER DU GERME | ique - sidéro - blast |  - sidéro+
sidérophyllite | INFLAMMATION  DU FER DE LA FEUILLE | ite - sidéro - phyll |  - sidéro+
socioanalyse | DÉCOMPOSITION  PARTAGÉ(E) DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | lyse - socio - ana |  - +
socioanthropologie | ÉTUDE  PARTAGÉ(E) DE L'HOMME | logie - socio - anthropo | logo - +anthropo
sociobiologie | ÉTUDE  PARTAGÉ(E) DE LA VIE | logie - socio - bio | logo - +bio
sociobiologique | ÉTUDE  PARTAGÉ(E) DE LA VIE | logique - socio - bio | logo - +bio
sociobiologiste | SPÉCIALISTE  PARTAGÉ(E) DE LA VIE | logiste - socio - bio | logo - +bio
socioéconomique | LOI  PARTAGÉ(E) DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | nomique - socio - éco |  - +
sociogéographique | ÉCRITURE  PARTAGÉ(E) DE LA TERRE | graphique - socio - géo | grapho - +géo
sociométriste | ADEPTE / SPÉCIALISTE  PARTAGÉ(E) DE LA MESURE | iste - socio - métr |  - +métro (métron)
sociopsychanalyse | DÉCOMPOSITION  PARTAGÉ(E) DE L'ÂME DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | lyse - socio - psych - ana |  - ++
sociopsychiatrie | MÉDECIN  PARTAGÉ(E) DE L'ÂME | iatrie - socio - psych | iatre - +
somatoparaphrénie | ESPRIT  DU CORPS À COTÉ | phrénie - somato - para |  - somato+para
somatopsychique | À PROPOS  DU CORPS DE L'ÂME | ique - somato - psych |  - somato+
spectrohéliographe | QUI ÉCRIT  DU SPECTRE DU SOLEIL | graphe - spectro - hélio | grapho - +
spectrophotographie | ÉCRITURE  DU SPECTRE DE LA LUMIÈRE | graphie - spectro - photo | grapho - +
spectrophotomètre | MESUREUR  DU SPECTRE DE LA LUMIÈRE | mètre - spectro - photo | métro (métron) - +
spectrophotométrie | MESURE  DU SPECTRE DE LA LUMIÈRE | métrie - spectro - photo | métro (métron) - +
spectrophotométrique | MESURAGE  DU SPECTRE DE LA LUMIÈRE | métrique - spectro - photo | métro (métron) - +
spectroradiomètre | MESUREUR  DU SPECTRE DU RAYONNEMENT | mètre - spectro - radio | métro (métron) - +
spectroradiométrie | MESURE  DU SPECTRE DU RAYONNEMENT | métrie - spectro - radio | métro (métron) - +
spermatocystectomie | ABLATION  DE LA SEMENCE DE LA VESSIE -> DE LA VÉSICULE | ectomie - spermato - cyst |  - +
spermatocystite | INFLAMMATION  DE LA SEMENCE DE LA VESSIE -> DE LA VÉSICULE | ite - spermato - cyst |  - +
spermatocytogenèse | CRÉATION  DE LA SEMENCE DE LA CELLULE | genèse - spermato - cyto | gène - +
spermotoxique | À PROPOS  DE LA SEMENCE TOXIQUE | ique - spermo - tox |  - +
sphéroblastome | TUMEUR  DE LA SPHÈRE DU GERME | ome - sphéro - blast |  - +
sphéroconique | À PROPOS  DE LA SPHÈRE AVEC | ique - sphéro - con |  - +
sphygmomanomètre | MESUREUR  DE LA PULSATION DE LA PRESSION | mètre - sphygmo - mano | métro (métron) - +mano
splénomanométrie | MESURE  DE LA RATE DE LA PRESSION | métrie - spléno - mano | métro (métron) - +mano
splénophlébite | INFLAMMATION  DE LA RATE DE LA VEINE | ite - spléno - phléb |  - +
splénotomographie | ÉCRITURE  DE LA RATE DÉCOUPÉ(E) | graphie - spléno - tomo | grapho - +tomo
spondylarthrite | INFLAMMATION  DE L'ATTACHE -> DE LA VERTÈBRE DE L'ARTICULATION | ite - spondyl - arthr |  - +
spondylarthropathie | MALADIE  DE L'ATTACHE -> DE LA VERTÈBRE DE L'ARTICULATION | pathie - spondyl - arthro | patho (souffrance) - +
spondylodiscopathie | MALADIE  DE L'ATTACHE -> DE LA VERTÈBRE DU DISQUE | pathie - spondylo - disco | patho (souffrance) - +
spongioblastome | TUMEUR  DE L'ÉPONGE DU GERME | ome - spongio - blast |  - spongia+
sporophytique | À PROPOS  DE L'ENSEMENCEMENT / DE LA DISSÉMINATION / DE LA DISPERSION DU VÉGÉTAL | ique - sporo - phyt |  - +
statokinésimètre | MESUREUR  IMMOBILE DU MOUVEMENT | mètre - stato - kinési | métro (métron) - statos+cinèse
stéatocystome | TUMEUR  DE LA GRAISSE DE LA VESSIE -> DE LA VÉSICULE | ome - stéato - cyst |  - stéato+
sténocardique | À PROPOS  ÉTROIT(E) DU CŒUR | ique - sténo - card |  - sténo+
sténochorégraphie | ÉCRITURE  ÉTROIT(E) DE LA DANSE | graphie - sténo - choré | grapho - sténo+
sténodactylographe | QUI ÉCRIT  ÉTROIT(E) DU DOIGT | graphe - sténo - dactylo | grapho - sténo+dactylo
sténodactylographie | ÉCRITURE  ÉTROIT(E) DU DOIGT | graphie - sténo - dactylo | grapho - sténo+dactylo
stéréoagnosie | CONNAISSANCE  SOLIDE -> ROBUSTE / DU RELIEF SANS | gnosie - stéréo - a |  - +a
stéréocardiogramme | ÉCRITURE  SOLIDE -> ROBUSTE / DU RELIEF DU CŒUR | gramme - stéréo - cardio | gramma - +
stéréocomparateur | AGENT  SOLIDE -> ROBUSTE / DU RELIEF AVEC À TRAVERS / DE PART EN PART / TERMINER / INTENSE | ateur - stéréo - com - par |  - ++
stéréoencéphalographie | ÉCRITURE  SOLIDE -> ROBUSTE / DU RELIEF DU CERVEAU | graphie - stéréo - encéphalo | grapho - +
stéréoencéphalographique | ÉCRITURE  SOLIDE -> ROBUSTE / DU RELIEF DU CERVEAU | graphique - stéréo - encéphalo | grapho - +
